,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1198119,RE1,S101,MINNGS,INDIHT,2043,0.0,2043,MINNGS
1198120,RE1,S101,MINNGS,INDIHT,2044,0.0,2044,MINNGS
1198121,RE1,S101,MINNGS,INDIHT,2045,0.0,2045,MINNGS
1198122,RE1,S101,MINNGS,INDIHT,2046,0.0,2046,MINNGS
1198123,RE1,S101,MINNGS,INDIHT,2047,0.0,2047,MINNGS
1198124,RE1,S101,MINNGS,INDIHT,2048,0.0,2048,MINNGS
1198125,RE1,S101,MINNGS,INDIHT,2049,0.0,2049,MINNGS
1198126,RE1,S101,MINNGS,INDIHT,2050,0.0,2050,MINNGS
1198127,RE1,S101,MINNGS,INDIHT,2051,0.0,2051,MINNGS
1198128,RE1,S101,MINNGS,INDIHT,2052,0.0,2052,MINNGS
1198129,RE1,S101,MINNGS,INDIHT,2053,0.0,2053,MINNGS
1198130,RE1,S101,MINNGS,INDIHT,2054,0.0,2054,MINNGS
1198131,RE1,S101,MINNGS,INDDHT,2022,0.0,2022,MINNGS
1198132,RE1,S101,MINNGS,INDDHT,2023,0.0,2023,MINNGS
1198133,RE1,S101,MINNGS,INDDHT,2024,0.0,2024,MINNGS
1198134,RE1,S101,MINNGS,INDDHT,2025,0.0,2025,MINNGS
1198135,RE1,S101,MINNGS,INDDHT,2026,0.0,2026,MINNGS
1198136,RE1,S101,MINNGS,INDDHT,2027,0.0,2027,MINNGS
1198137,RE1,S101,MINNGS,INDDHT,2028,0.0,2028,MINNGS
1198138,RE1,S101,MINNGS,INDDHT,2029,0.0,2029,MINNGS
1198139,RE1,S101,MINNGS,INDDHT,2030,0.0,2030,MINNGS
1198140,RE1,S101,MINNGS,INDDHT,2031,0.0,2031,MINNGS
1198141,RE1,S101,MINNGS,INDDHT,2032,0.0,2032,MINNGS
1198142,RE1,S101,MINNGS,INDDHT,2033,0.0,2033,MINNGS
1198143,RE1,S101,MINNGS,INDDHT,2034,0.0,2034,MINNGS
1198144,RE1,S101,MINNGS,INDDHT,2035,0.0,2035,MINNGS
1198145,RE1,S101,MINNGS,INDDHT,2036,0.0,2036,MINNGS
1198146,RE1,S101,MINNGS,INDDHT,2037,0.0,2037,MINNGS
1198147,RE1,S101,MINNGS,INDDHT,2038,0.0,2038,MINNGS
1198148,RE1,S101,MINNGS,INDDHT,2039,0.0,2039,MINNGS
1198149,RE1,S101,MINNGS,INDDHT,2040,0.0,2040,MINNGS
1198150,RE1,S101,MINNGS,INDDHT,2041,0.0,2041,MINNGS
1198151,RE1,S101,MINNGS,INDDHT,2042,0.0,2042,MINNGS
1198152,RE1,S101,MINNGS,INDDHT,2043,0.0,2043,MINNGS
1198153,RE1,S101,MINNGS,INDDHT,2044,0.0,2044,MINNGS
1198154,RE1,S101,MINNGS,INDDHT,2045,0.0,2045,MINNGS
