,COLOR,TIME,TIME_NUM,VALUE
724,PWRSOLUPE,2053,2053,1.6333333333333333
592,PWRSOLRTP,2053,2053,34.79443095518778
64,PWRBGS,2053,2053,0.004672907712
889,PWRWNDONS,2053,2053,4.04076
625,PWRSOLRTP_ZNI,2053,2053,0.20170965201977029
361,PWRHYDROR_NDC,2053,2053,5.224791689699999
658,PWRSOLUGE,2053,2053,47.462967143328605
328,PWRHYDROR,2053,2053,2.783709
295,PWRHYDDAM,2053,2053,55.92384
65,PWRBGS,2054,2054,0.004672907712
725,PWRSOLUPE,2054,2054,1.6333333333333333
626,PWRSOLRTP_ZNI,2054,2054,0.20416412177386414
593,PWRSOLRTP,2054,2054,35.916
659,PWRSOLUGE,2054,2054,50.98542008332888
329,PWRHYDROR,2054,2054,2.61668646
296,PWRHYDDAM,2054,2054,52.568409599999995
362,PWRHYDROR_NDC,2054,2054,5.224791689699999
890,PWRWNDONS,2054,2054,4.04076
