,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR,GRUPO
489352,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2050,0.0,2050,DEMRESELCREF_HIG_URB,ELC
489353,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2051,0.0,2051,DEMRESELCREF_HIG_URB,ELC
489354,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2052,0.0,2052,DEMRESELCREF_HIG_URB,ELC
489355,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2053,0.0,2053,DEMRESELCREF_HIG_URB,ELC
489356,RE1,S101,DEMRESELCREF_HIG_URB,CONSDSL,2054,0.0,2054,DEMRESELCREF_HIG_URB,ELC
489357,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2022,0.0,2022,DEMRESELCREF_HIG_URB,ELC
489358,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2023,0.0,2023,DEMRESELCREF_HIG_URB,ELC
489359,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2024,0.0,2024,DEMRESELCREF_HIG_URB,ELC
489360,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2025,0.0,2025,DEMRESELCREF_HIG_URB,ELC
489361,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2026,0.0,2026,DEMRESELCREF_HIG_URB,ELC
489362,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2027,0.0,2027,DEMRESELCREF_HIG_URB,ELC
489363,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2028,0.0,2028,DEMRESELCREF_HIG_URB,ELC
489364,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2029,0.0,2029,DEMRESELCREF_HIG_URB,ELC
489365,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2030,0.0,2030,DEMRESELCREF_HIG_URB,ELC
489366,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2031,0.0,2031,DEMRESELCREF_HIG_URB,ELC
489367,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2032,0.0,2032,DEMRESELCREF_HIG_URB,ELC
489368,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2033,0.0,2033,DEMRESELCREF_HIG_URB,ELC
489369,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2034,0.0,2034,DEMRESELCREF_HIG_URB,ELC
489370,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2035,0.0,2035,DEMRESELCREF_HIG_URB,ELC
489371,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2036,0.0,2036,DEMRESELCREF_HIG_URB,ELC
489372,RE1,S101,DEMRESELCREF_HIG_URB,CONSELC,2037,0.0,2037,DEMRESELCREF_HIG_URB,ELC
