,TECHNOLOGY,YEAR,VALUE
12218,PWRSTD,2030,0.258849
12219,PWRSTD,2031,0.258849
12220,PWRSTD,2032,0.258849
12221,PWRSTD,2033,0.258849
12222,PWRSTD,2034,0.258849
12223,PWRSTD,2035,0.258849
12224,PWRSTD,2036,0.258849
12225,PWRSTD,2037,0.258849
12226,PWRSTD,2038,0.258849
12227,PWRSTD,2039,0.258849
12228,PWRSTD,2040,0.258849
12229,PWRSTD,2041,0.258849
12230,PWRSTD,2042,0.258849
12231,PWRSTD,2043,0.258849
12232,PWRSTD,2044,0.258849
12233,PWRSTD,2045,0.258849
12234,PWRSTD,2046,0.258849
12235,PWRSTD,2047,0.258849
12236,PWRSTD,2048,0.258849
12237,PWRSTD,2049,0.258849
12238,PWRSTD,2050,0.258849
12239,PWRSTD,2051,0.258849
12240,PWRSTD,2052,0.258849
12241,PWRSTD,2053,0.258849
12242,PWRSTD,2054,0.258849
12342,PWRWNDONS,2022,0.03842
12343,PWRWNDONS,2023,0.052219999999999996
12344,PWRWNDONS,2024,0.033800000000000004
12345,PWRWNDONS,2025,0.04827136333985648
12346,PWRWNDONS,2026,0.04827136333985648
12347,PWRWNDONS,2027,0.5972713633398565
12348,PWRWNDONS,2028,0.7982713633398564
12349,PWRWNDONS,2029,1.0982713633398564
12350,PWRWNDONS,2030,1.0982713633398564
12351,PWRWNDONS,2031,1.0982713633398564
12352,PWRWNDONS,2032,1.0982713633398564
12353,PWRWNDONS,2033,1.0982713633398564
12354,PWRWNDONS,2034,1.0982713633398564
12355,PWRWNDONS,2035,1.0982713633398564
12356,PWRWNDONS,2036,1.0982713633398564
12357,PWRWNDONS,2037,1.0982713633398564
12358,PWRWNDONS,2038,1.0982713633398564
12359,PWRWNDONS,2039,1.0982713633398564
12360,PWRWNDONS,2040,1.0982713633398564
12361,PWRWNDONS,2041,1.0982713633398564
12362,PWRWNDONS,2042,1.0982713633398564
12363,PWRWNDONS,2043,1.0982713633398564
12364,PWRWNDONS,2044,1.0982713633398564
12365,PWRWNDONS,2045,1.0982713633398564
12366,PWRWNDONS,2046,1.0982713633398564
12367,PWRWNDONS,2047,1.0982713633398564
12368,PWRWNDONS,2048,1.0982713633398564
12369,PWRWNDONS,2049,1.0982713633398564
12370,PWRWNDONS,2050,1.0982713633398564
12371,PWRWNDONS,2051,1.0982713633398564
12372,PWRWNDONS,2052,1.0982713633398564
12373,PWRWNDONS,2053,1.0982713633398564
12374,PWRWNDONS,2054,1.0982713633398564
