,REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE,TIME,COLOR
1144150,RE1,S101,IMPDSL,INDIHT,2029,0.0,2029,IMPDSL
1144151,RE1,S101,IMPDSL,INDIHT,2030,0.0,2030,IMPDSL
1144152,RE1,S101,IMPDSL,INDIHT,2031,0.0,2031,IMPDSL
1144153,RE1,S101,IMPDSL,INDIHT,2032,0.0,2032,IMPDSL
1144154,RE1,S101,IMPDSL,INDIHT,2033,0.0,2033,IMPDSL
1144155,RE1,S101,IMPDSL,INDIHT,2034,0.0,2034,IMPDSL
1144156,RE1,S101,IMPDSL,INDIHT,2035,0.0,2035,IMPDSL
1144157,RE1,S101,IMPDSL,INDIHT,2036,0.0,2036,IMPDSL
1144158,RE1,S101,IMPDSL,INDIHT,2037,0.0,2037,IMPDSL
1144159,RE1,S101,IMPDSL,INDIHT,2038,0.0,2038,IMPDSL
1144160,RE1,S101,IMPDSL,INDIHT,2039,0.0,2039,IMPDSL
1144161,RE1,S101,IMPDSL,INDIHT,2040,0.0,2040,IMPDSL
1144162,RE1,S101,IMPDSL,INDIHT,2041,0.0,2041,IMPDSL
1144163,RE1,S101,IMPDSL,INDIHT,2042,0.0,2042,IMPDSL
1144164,RE1,S101,IMPDSL,INDIHT,2043,0.0,2043,IMPDSL
1144165,RE1,S101,IMPDSL,INDIHT,2044,0.0,2044,IMPDSL
1144166,RE1,S101,IMPDSL,INDIHT,2045,0.0,2045,IMPDSL
1144167,RE1,S101,IMPDSL,INDIHT,2046,0.0,2046,IMPDSL
1144168,RE1,S101,IMPDSL,INDIHT,2047,0.0,2047,IMPDSL
1144169,RE1,S101,IMPDSL,INDIHT,2048,0.0,2048,IMPDSL
1144170,RE1,S101,IMPDSL,INDIHT,2049,0.0,2049,IMPDSL
1144171,RE1,S101,IMPDSL,INDIHT,2050,0.0,2050,IMPDSL
1144172,RE1,S101,IMPDSL,INDIHT,2051,0.0,2051,IMPDSL
1144173,RE1,S101,IMPDSL,INDIHT,2052,0.0,2052,IMPDSL
1144174,RE1,S101,IMPDSL,INDIHT,2053,0.0,2053,IMPDSL
1144175,RE1,S101,IMPDSL,INDIHT,2054,0.0,2054,IMPDSL
1144176,RE1,S101,IMPDSL,INDDHT,2022,0.0,2022,IMPDSL
1144177,RE1,S101,IMPDSL,INDDHT,2023,0.0,2023,IMPDSL
1144178,RE1,S101,IMPDSL,INDDHT,2024,0.0,2024,IMPDSL
1144179,RE1,S101,IMPDSL,INDDHT,2025,0.0,2025,IMPDSL
1144180,RE1,S101,IMPDSL,INDDHT,2026,0.0,2026,IMPDSL
1144181,RE1,S101,IMPDSL,INDDHT,2027,0.0,2027,IMPDSL
