REGION,TECHNOLOGY,VALUE
RE1,MINNGS,100.0
RE1,MINOFW_FIX,100.0
RE1,MINOFW_FLO,100.0
RE1,MINOIL,100.0
RE1,MINONW,100.0
RE1,MINOPL,100.0
RE1,MINROR,100.0
RE1,MINSGC,100.0
RE1,MINSOL,100.0
RE1,MINSOL_RTP,100.0
RE1,MINWAS,100.0
RE1,MINWAS_ORG,100.0
RE1,MINWOO,100.0
RE1,PWRAFR,25.0
RE1,PWRBGS,25.0
RE1,PWRCOA,30.0
RE1,PWRCOACCS,40.0
RE1,PWRCSP,40.0
RE1,PWRDSL,40.0
RE1,PWRFOIL,40.0
RE1,PWRGEO,20.0
RE1,PWRHYDDAM,60.0
RE1,PWRHYDROR,60.0
RE1,PWRHYDROR_NDC,60.0
RE1,PWRJET,40.0
RE1,PWRLPG,40.0
RE1,PWRNGS_CC,30.0
RE1,PWRNGS_CS,25.0
RE1,PWRNGSCCS,30.0
RE1,PWRNUC,40.0
RE1,PWRSOLRTP,25.0
RE1,PWRSOLRTP_ZNI,25.0
RE1,PWRSOLUGE,25.0
RE1,PWRSOLUGE_BAT,25.0
RE1,PWRSOLUPE,25.0
RE1,PWRSTD,20.0
RE1,PWRWAS,20.0
RE1,PWRWNDOFS_FIX,25.0
RE1,PWRWNDOFS_FLO,25.0
RE1,PWRWNDONS,30.0
RE1,UPSALK,10.0
RE1,UPSBDB,40.0
RE1,UPSBDL,25.0
RE1,UPSBET,1.0
RE1,UPSBGB,40.0
RE1,UPSBGS,20.0
RE1,UPSBJS,40.0
RE1,UPSBMET,20.0
RE1,UPSBMETL,20.0
RE1,UPSEV_FC,20.0
RE1,UPSEVC,20.0
RE1,UPSHDGRST,20.0
RE1,UPSPEM,10.0
RE1,UPSREF_BAR,40.0
RE1,UPSREF_CAR,40.0
RE1,UPSREG,25.0
RE1,UPSSAF,40.0
RE1,UPSSMR,25.0
RE1,UPSSMRCCS,20.0
RE1,CTRNGS,50.0
RE1,DEMNGSAUT,100.0
