REGION,FUEL,YEAR,VALUE
RE1,INDILU,2048,2.403893215801636
RE1,INDILU,2049,2.4985970661688794
RE1,INDILU,2050,2.5969920621310787
RE1,INDILU,2051,2.6993879653065043
RE1,INDILU,2052,2.805958885075363
RE1,INDILU,2053,2.9168849844012685
RE1,INDILU,2054,3.0317173335217684
RE1,INDMPW,2022,33.24216074968833
RE1,INDMPW,2023,31.69528021846081
RE1,INDMPW,2024,31.076611711159348
RE1,INDMPW,2025,31.444853780429455
RE1,INDMPW,2026,32.11883521576313
RE1,INDMPW,2027,32.63357972393246
RE1,INDMPW,2028,33.316247054365256
RE1,INDMPW,2029,34.05908323595377
RE1,INDMPW,2030,34.58117807310543
RE1,INDMPW,2031,35.11783623637964
RE1,INDMPW,2032,35.65338269715903
RE1,INDMPW,2033,36.18968325677726
RE1,INDMPW,2034,37.30942717102504
RE1,INDMPW,2035,38.70725552291772
RE1,INDMPW,2036,40.160837345582365
RE1,INDMPW,2037,41.68460998305764
RE1,INDMPW,2038,43.26963975720936
RE1,INDMPW,2039,44.91861087989274
RE1,INDMPW,2040,46.63429130691537
RE1,INDMPW,2041,48.41958952421869
RE1,INDMPW,2042,50.31319083158713
RE1,INDMPW,2043,52.28404678442911
RE1,INDMPW,2044,54.33554283485237
RE1,INDMPW,2045,56.47121985750484
RE1,INDMPW,2046,58.69478179754677
RE1,INDMPW,2047,61.02120423895129
RE1,INDMPW,2048,63.43880206190083
RE1,INDMPW,2049,65.95081642212368
RE1,INDMPW,2050,68.56095271449442
RE1,INDMPW,2051,71.2774253632379
RE1,INDMPW,2052,74.1048708647152
RE1,INDMPW,2053,77.04808747580373
RE1,INDMPW,2054,80.09525528497657
RE1,TERCLIM_CEN,2022,18.18779387440904
RE1,TERCLIM_CEN,2023,18.807496563295985
RE1,TERCLIM_CEN,2024,19.4508691985273
RE1,TERCLIM_CEN,2025,20.14000490135362
RE1,TERCLIM_CEN,2026,20.941296139698668
RE1,TERCLIM_CEN,2027,21.6946167577276
RE1,TERCLIM_CEN,2028,22.422355741089792
RE1,TERCLIM_CEN,2029,23.18719388524021
RE1,TERCLIM_CEN,2030,23.964074382860453
RE1,TERCLIM_CEN,2031,24.50363084631353
RE1,TERCLIM_CEN,2032,24.996817847750197
RE1,TERCLIM_CEN,2033,25.45989941331093
RE1,TERCLIM_CEN,2034,25.86611051899154
RE1,TERCLIM_CEN,2035,26.219871447184648
RE1,TERCLIM_CEN,2036,26.533038287295096
RE1,TERCLIM_CEN,2037,26.826238790827677
RE1,TERCLIM_CEN,2038,27.12359088383968
RE1,TERCLIM_CEN,2039,27.4493795443262
RE1,TERCLIM_CEN,2040,27.82450649268665
RE1,TERCLIM_CEN,2041,28.26435098713291
RE1,TERCLIM_CEN,2042,28.7784156845787
RE1,TERCLIM_CEN,2043,29.37078951025775
RE1,TERCLIM_CEN,2044,30.04157391515716
RE1,TERCLIM_CEN,2045,30.788262377197334
RE1,TERCLIM_CEN,2046,31.60692844363392
RE1,TERCLIM_CEN,2047,32.493118645263486
RE1,TERCLIM_CEN,2048,33.44245422447719
RE1,TERCLIM_CEN,2049,34.45099345945657
RE1,TERCLIM_CEN,2050,35.51541758454367
RE1,TERCLIM_CEN,2051,36.6633892701019
RE1,TERCLIM_CEN,2052,37.85692056806644
RE1,TERCLIM_CEN,2053,39.05158395932345
RE1,TERCLIM_CEN,2054,40.28869089125049
RE1,TERCLIM_FAN,2022,0.5112983721956187
RE1,TERCLIM_FAN,2023,0.5287515385151611
RE1,TERCLIM_FAN,2024,0.5470005865939263
RE1,TERCLIM_FAN,2025,0.5664873952579932
RE1,TERCLIM_FAN,2026,0.5891393695531026
RE1,TERCLIM_FAN,2027,0.610505581815725
RE1,TERCLIM_FAN,2028,0.6312117279866993
RE1,TERCLIM_FAN,2029,0.653051206926426
RE1,TERCLIM_FAN,2030,0.6753323568597462
RE1,TERCLIM_FAN,2031,0.6938299150399865
RE1,TERCLIM_FAN,2032,0.7120312605465919
RE1,TERCLIM_FAN,2033,0.7305352377802319
RE1,TERCLIM_FAN,2034,0.7486428451299116
RE1,TERCLIM_FAN,2035,0.7664320310557852
RE1,TERCLIM_FAN,2036,0.7840729615502957
RE1,TERCLIM_FAN,2037,0.8018756018856467
RE1,TERCLIM_FAN,2038,0.8201909411334373
RE1,TERCLIM_FAN,2039,0.8393731702653193
RE1,TERCLIM_FAN,2040,0.8597302674410252
RE1,TERCLIM_FAN,2041,0.8814935917079071
RE1,TERCLIM_FAN,2042,0.9048153603336536
RE1,TERCLIM_FAN,2043,0.9297703265375284
RE1,TERCLIM_FAN,2044,0.956378175428556
RE1,TERCLIM_FAN,2045,0.9846227905350954
RE1,TERCLIM_FAN,2046,1.014468854024987
RE1,TERCLIM_FAN,2047,1.045874331828643
RE1,TERCLIM_FAN,2048,1.0787988968218438
RE1,TERCLIM_FAN,2049,1.1132090116493796
RE1,TERCLIM_FAN,2050,1.1490805499706074
RE1,TERCLIM_FAN,2051,1.1868178220454146
RE1,TERCLIM_FAN,2052,1.2259135948051936
RE1,TERCLIM_FAN,2053,1.2649087842882434
RE1,TERCLIM_FAN,2054,1.305210677518792
RE1,TERCLIM_SPL,2022,2.000622355117684
RE1,TERCLIM_SPL,2023,2.068788459345322
RE1,TERCLIM_SPL,2024,2.139558212158818
RE1,TERCLIM_SPL,2025,2.2153618144156018
RE1,TERCLIM_SPL,2026,2.303502309929389
RE1,TERCLIM_SPL,2027,2.386366129445197
RE1,TERCLIM_SPL,2028,2.466416018335436
