REGION,TECHNOLOGY,VALUE
RE1,SO_DEMTRAGSLSTT,0.05
RE1,OR_DEMTRAGSLSTT,0.05
RE1,CA_DEMTRAGSLSTT,0.05
RE1,NE_DEMTRAHDGSTT,0.05
RE1,AN_DEMTRAHDGSTT,0.05
RE1,SO_DEMTRAHDGSTT,0.05
RE1,OR_DEMTRAHDGSTT,0.05
RE1,CA_DEMTRAHDGSTT,0.05
RE1,NE_DEMTRANGSSTT,0.05
RE1,AN_DEMTRANGSSTT,0.05
RE1,SO_DEMTRANGSSTT,0.05
RE1,OR_DEMTRANGSSTT,0.05
RE1,CA_DEMTRANGSSTT,0.05
RE1,NE_DEMTRAELCMOT,0.05
RE1,AN_DEMTRAELCMOT,0.05
RE1,SO_DEMTRAELCMOT,0.05
RE1,OR_DEMTRAELCMOT,0.05
RE1,CA_DEMTRAELCMOT,0.05
RE1,NE_DEMTRAGSLMOT,0.05
RE1,AN_DEMTRAGSLMOT,0.05
RE1,SO_DEMTRAGSLMOT,0.05
RE1,OR_DEMTRAGSLMOT,0.05
RE1,CA_DEMTRAGSLMOT,0.05
RE1,NE_DEMTRADSLMIC,0.05
RE1,AN_DEMTRADSLMIC,0.05
RE1,SO_DEMTRADSLMIC,0.05
RE1,OR_DEMTRADSLMIC,0.05
RE1,CA_DEMTRADSLMIC,0.05
RE1,NE_DEMTRAELCMIC,0.05
RE1,AN_DEMTRAELCMIC,0.05
RE1,SO_DEMTRAELCMIC,0.05
RE1,OR_DEMTRAELCMIC,0.05
RE1,CA_DEMTRAELCMIC,0.05
RE1,NE_DEMTRAGSLMIC,0.05
RE1,AN_DEMTRAGSLMIC,0.05
RE1,SO_DEMTRAGSLMIC,0.05
RE1,OR_DEMTRAGSLMIC,0.05
RE1,CA_DEMTRAGSLMIC,0.05
RE1,NE_DEMTRAHDGMIC,0.05
RE1,AN_DEMTRAHDGMIC,0.05
RE1,SO_DEMTRAHDGMIC,0.05
RE1,OR_DEMTRAHDGMIC,0.05
RE1,CA_DEMTRAHDGMIC,0.05
RE1,NE_DEMTRANGSMIC,0.05
RE1,AN_DEMTRANGSMIC,0.05
RE1,SO_DEMTRANGSMIC,0.05
RE1,OR_DEMTRANGSMIC,0.05
RE1,CA_DEMTRANGSMIC,0.05
RE1,AN_DEMTRAELCMET,0.05
RE1,SO_DEMTRAELCMET,0.05
RE1,OR_DEMTRAELCMET,0.05
RE1,NE_DEMTRADSLBUS_ART,0.05
RE1,AN_DEMTRADSLBUS_ART,0.05
RE1,SO_DEMTRADSLBUS_ART,0.05
RE1,OR_DEMTRADSLBUS_ART,0.05
